anger_regular_01|ああ？|ああ？どうしてこんなに荒々しい態度をとるんだ？落ち着いて話を聞けばいいのに。
anger_regular_02|ああ？|ああ？あの問題児がまた問題を起こしたって？何度注意しても改善しないんだから、もう本当に腹が立つ。
anger_regular_03|ああ？|ああ？戦争を望むのか？どうしてこんなに愚かなことを言えるんだ。
anger_regular_04|ああ？|ああ？罪悪感を感じるのは当たり前だろう！何をやっても全く反省していないのか？
anger_regular_05|ええ|ええ、自分勝手な考え方は許せないわ！周りの人たちの気持ちを考えなさい！
anger_regular_06|ええ|ええ、卑怯者め！人を裏切るなんて、どうしてそんなに卑しいことができるんだ！
anger_regular_07|ええ|ええ、気取った態度をとって何がしたいの？素直に話せばいいのに。
anger_regular_08|ええ|ええ、腹の立つことはわかるけど、怒りを爆発させる前に冷静に考えようよ。
anger_regular_09|おい|おい、ぶっきらぼうに話すな！もうちょっと感情を込めて話してくれないと、こっちもイライラするぞ。
anger_regular_10|おい|おい！あなたの過失で私たちは損害を被ったんだぞ！責任を取れ！
anger_regular_11|おい|おい！失礼な態度は許されないぞ。謝罪して反省しなさい。
anger_regular_12|おい|おい！あんた、暴挙を働いたって何がしたいんだ？自分がやられて嫌なことは、他人にもやるなんて許されることじゃないよ。
anger_regular_13|おのれ|おのれ！何度も言い争いをしてばかりで何がしたいんだ？仲直りしろ！
anger_regular_14|おのれ|おのれ！私たちは同僚なんだろう？なぜこんなに軽蔑的な態度を取るんだ？
anger_regular_15|おのれ|おのれ！私怨で人を傷つけるなんて卑怯な行為だ。
anger_regular_16|おのれ|おのれ！この地域は乱開発によって自然が破壊されているんだぞ！何も考えていないのか？
anger_regular_17|このー|このー！あんたの過激な言動が問題なんだよ。周りの人の気持ちを考えて行動しろよ。
anger_regular_18|このー|このー、どうしていつも消極的なんだ？もっと自分の意見をしっかりと主張しなさいよ。
anger_regular_19|このー|このー！なぜあなたはいつも部屋を汚すの？もう一度やったら、怒りがおさまらないわよ。
anger_regular_20|このー|このー！いくら争っても仕方がないと思わないか？和解しなさい。
anger_regular_21|こら|こら！野蛮な言葉遣いはやめなさい。人を傷つけることに何の意味があるのか。
anger_regular_22|こら|こら！あなたのよそ事に私がどう関わるんですか？私に迷惑をかけないでください。
anger_regular_23|こら|こら！何でそんなに意地悪なんだよ？人を傷つけることでしか満足できないのか？
anger_regular_24|こら|こら！こんな仕事、割に合わないって言ってたくせに、給料のことで文句を言うな！
anger_regular_25|なに|なに？あなたが問題をこじらせたのに私が何も言わないと思うなよ。
anger_regular_26|なに|なに！この鬼畜が！あなたのような人間がいるから世の中が腐るんだよ。
anger_regular_27|なに|なに？濫行しているのに、まるで何も知らないかのように振る舞っているのか？
anger_regular_28|なに|なに！こんなに汚い部屋で生活するつもりなの？早く片付けなさい！
anger_regular_29|ちぇっ|ちぇっ、あなたの言い分は理不尽さしかないわ。私たちは平等に扱われるべきだ。
anger_regular_30|ちぇっ|ちぇっ、傲慢な態度をとるくせに、何も知らないふりをしているなんてまじでありえない。
anger_regular_31|ちぇっ|ちぇっ、あの人を恨む理由がないとでも思ってるの？あなたにとっては些細なことかもしれないけど、私にとっては大切なことだったんだよ。
anger_regular_32|ちぇっ|ちぇっ、あなたの身勝手な行動はいつも私たちに迷惑をかけている。もう我慢できないわ。
anger_regular_33|はぁ？|はぁ？なぜこんなに急に解散することになったのか、説明してくれ。
anger_regular_34|はぁ？|はぁ？無駄遣いばかりして何が楽しいの？金を大事にしろよ。
anger_regular_35|はぁ？|はぁ？こんなに如何わしい商売しているとは知らなかったよ！信用していたのに。
anger_regular_36|はぁ？|はぁ？またお説教ですか？
anger_regular_37|ふん|ふん、いい加減にしろよ！いつもダメ出しばかりで何も褒め言葉がないんだ。
anger_regular_38|ふん|ふん、私が言いなりになると思っているのか？馬鹿げているわ。
